UniProt_ID,set
A1L4X7,training
A2RVK7,training
B3LFA4,training
B9DFK5,training
D9UBX6,training
F4HTT6,test
F4HYF3,training
F4I3B3,training
F4I907,training
F4IEY4,training
F4IKM1,test
F4IN23,training
F4J2Z7,training
F4JCU3,training
F4JHI7,test
F4JML5,training
F4JNU8,training
F4JTE7,training
F4K5T4,training
F4KFC7,training
F4KGQ0,training
F4KHG6,training
O03042,training
O04019,validation
O04023,training
O04147,training
O04151,training
O04153,training
O04202,validation
O04309,training
O04311,training
O04312,training
O04314,training
O04326,training
O04373,validation
O04420,test
O04421,training
O04482,training
O04487,training
O04492,training
O04496,test
O04603,training
O04619,training
O04663,training
O04846,training
O04904,training
O04922,test
O22126,test
O22149,training
O22203,training
O22263,training
O22265,training
O22287,training
O22446,training
O22467,training
O22468,training
O22607,test
O22609,training
O22682,validation
O22715,training
O22718,training
O22765,training
O22769,training
O22797,training
O22822,training
O22823,training
O22832,test
O22860,training
O22870,training
O22886,training
O22922,training
O22969,training
O23034,training
O23044,training
O23049,training
O23140,training
O23166,training
O23179,training
O23207,training
O23252,training
O23254,training
O23255,validation
O23264,training
O23402,training
O23403,validation
O23406,training
O23487,training
O23657,training
O23680,validation
O23710,training
O23715,training
O23722,training
O24412,training
O24456,training
O24457,validation
O24520,training
O24521,training
O24616,training
O24633,training
O24653,training
O48529,validation
O48549,training
O48646,training
O48661,training
O48676,training
O48721,validation
O48726,training
O48741,training
O48773,training
O48781,training
O48791,training
O48832,training
O48917,training
O49195,training
O49196,training
O49203,training
O49290,training
O49292,test
O49339,validation
O49354,test
O49377,test
O49453,training
O49482,training
O49499,training
O49543,training
O49562,training
O49603,training
O49629,training
O49686,training
O50039,training
O64527,training
O64530,training
O64640,training
O64700,training
O64725,training
O64733,training
O64765,training
O64816,test
O64864,training
O65023,training
O65041,training
O65220,training
O65271,training
O65390,training
O65396,training
O65493,training
O65581,training
O65660,training
O65679,training
O65686,training
O65693,test
O65782,training
O65784,test
O65788,training
O65896,validation
O65902,training
O80345,training
O80476,training
O80477,training
O80492,validation
O80501,validation
O80526,training
O80543,training
O80574,training
O80634,training
O80642,training
O80840,training
O80842,training
O80852,training
O80885,training
O80915,test
O80925,training
O80934,test
O80944,training
O80950,training
O81024,training
O81027,training
O81126,training
O81146,validation
O81147,training
O81148,training
O81208,training
O81235,validation
O81304,training
O81439,training
O81845,training
O82197,training
O82200,training
O82210,training
O82251,training
O82264,training
O82290,validation
O82291,training
O82314,training
O82355,training
O82357,training
O82359,training
O82399,training
O82413,training
O82499,training
O82533,validation
O82656,training
O82660,training
O82662,training
O82734,training
O82768,test
O82782,training
O82796,training
P06525,training
P09468,training
P0C895,test
P0DI07,training
P0DI79,training
P10795,training
P10796,training
P10798,training
P10896,training
P11574,training
P13114,training
P16127,training
P16181,training
P17562,training
P17745,training
P18064,training
P19171,training
P19366,training
P20115,training
P21218,training
P21276,training
P23686,training
P24100,training
P24636,training
P24806,training
P25696,training
P25697,training
P25819,training
P25851,training
P25857,training
P25858,training
P25864,training
P26569,training
P27140,training
P27202,training
P27521,training
P28186,training
P28187,training
P28188,test
P29513,training
P29517,validation
P31166,training
P31167,training
P31265,training
P31582,training
P32961,training
P32962,training
P33207,training
P33487,training
P34788,training
P34790,training
P34791,training
P34802,training
P35614,validation
P38025,training
P38666,training
P39207,training
P40941,training
P41088,training
P41376,validation
P41377,training
P42643,training
P42644,training
P42732,training
P42733,validation
P42734,training
P42737,training
