tm,stability,entry,proteinname
41.92515004,Unstable,Q08972,[NU+] prion formation protein 1
51.43864621,Medium,P38631,"1,3-beta-glucan synthase component FKS1 (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase) (Calcineurin dependent protein 1) (Calcofluor white hypersensitivity protein 53) (Echinocandin target gene protein 1) (FK506 sensitivity protein 1) (Glucan synthase of cerevisiae protein 1) (Papulacandin B resistance protein 1)"
48.53238976,Medium,P22146,"1,3-beta-glucanosyltransferase GAS1 (EC 2.4.1.-) (Glycolipid-anchored surface protein 1) (Glycoprotein GP115)"
49.53127123,Medium,P22943,12 kDa heat shock protein (Glucose and lipid-regulated protein)
50.96415608,Medium,Q12166,"2-isopropylmalate synthase 2, mitochondrial (EC 2.3.3.13) (Alpha-IPM synthase 2) (Alpha-isopropylmalate synthase 2) (Alpha-isopropylmalate synthase II)"
44.01093568,Medium,P20967,"2-oxoglutarate dehydrogenase, mitochondrial (EC 1.2.4.2) (2-oxoglutarate dehydrogenase complex component E1) (OGDC-E1) (Alpha-ketoglutarate dehydrogenase)"
53.48623917,Medium,P33299,26S protease regulatory subunit 7 homolog (Protein CIM5) (Tat-binding homolog 3)
53.0008433,Medium,Q01939,26S protease regulatory subunit 8 homolog (Protein CIM3) (Protein SUG1) (Tat-binding protein TBY1)
44.43695241,Medium,P38764,26S proteasome regulatory subunit RPN1 (HMG-CoA reductase degradation protein 2) (Proteasome non-ATPase subunit 1)
54.04922427,Medium,P38886,26S proteasome regulatory subunit RPN10
46.00027883,Medium,P32496,26S proteasome regulatory subunit RPN12 (Nuclear integrity protein 1)
48.05931942,Medium,O13563,26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)
47.57227725,Medium,P32565,26S proteasome regulatory subunit RPN2
51.60771043,Medium,P40016,26S proteasome regulatory subunit RPN3
45.76553267,Medium,Q12250,26S proteasome regulatory subunit RPN5 (Proteasome non-ATPase subunit 5)
44.22381147,Medium,Q06103,26S proteasome regulatory subunit RPN7
44.53563781,Medium,Q08723,26S proteasome regulatory subunit RPN8
56.34809977,Medium,Q04062,26S proteasome regulatory subunit RPN9 (Proteasome non-ATPase subunit 7)
54.0305618,Medium,P47096,"3-hydroxyanthranilate 3,4-dioxygenase (EC 1.13.11.6) (3-hydroxyanthranilate oxygenase) (3-HAO) (3-hydroxyanthranilic acid dioxygenase) (HAD) (Biosynthesis of nicotinic acid protein 1)"
42.6206773,Unstable,Q12452,3-keto-steroid reductase (EC 1.1.1.270)
63.7762786,Stable,P38342,3-ketodihydrosphingosine reductase TSC10 (EC 1.1.1.102) (3-dehydrosphinganine reductase) (KDS reductase) (Temperature-sensitive CSG2 suppressor protein 10)
56.21263888,Medium,P06776,"3',5'-cyclic-nucleotide phosphodiesterase 2 (PDEase 2) (EC 3.1.4.53) (High-affinity cAMP phosphodiesterase)"
52.33562043,Medium,P32179,"3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (DPNPase) (Halotolerance protein HAL2) (Methionine-requiring protein 22)"
47.40459698,Medium,P10662,"37S ribosomal protein MRP1, mitochondrial"
54.18407131,Medium,P53733,"37S ribosomal protein S19, mitochondrial"
