tm,stability,entry,proteinname
58.7586195,Medium,A3KFL4,Exosome complex component RRP4
44.77712663,Unstable,B4DEM7,T-complex protein 1 subunit theta
45.35893032,Unstable,B4DGP8,Calnexin
68.13703704,Stable,B4DJP7,Small nuclear ribonucleoprotein Sm ...
47.62650985,Unstable,B4DP21,Prostaglandin E synthase 3
51.5136517,Medium,B4DQJ8,"6-phosphogluconate dehydrogenase, d..."
58.89904198,Medium,B4DS69,Arfaptin-1
52.51424319,Medium,B4DTG2,Elongation factor 1-gamma
61.20404908,Medium,B4DTG6,Protein LSM14 homolog A
49.89509987,Medium,B4DWW4,DNA replication licensing factor MC...
60.6311265,Medium,B4DX68,Lymphokine-activated killer T-cell-...
42.73813485,Unstable,B4DYD8,T-complex protein 1 subunit epsilon
60.21888063,Medium,B4DZW6,Regulator of microtubule dynamics p...
61.80867092,Medium,B4E1K7,"Stomatin-like protein 2, mitochondr..."
51.67484388,Medium,B4E241,Serine/arginine-rich splicing facto...
63.43677971,Medium,B7Z1R5,V-type proton ATPase catalytic subu...
59.16068031,Medium,B7Z4K6,Deoxyribonuclease-2-alpha
47.22892965,Unstable,B7Z9G5,BRO1 domain-containing protein BROX
58.07560853,Medium,B7ZA04,Cytoplasmic dynein 1 intermediate c...
60.48986316,Medium,E5RJ68,AP-3 complex subunit beta-1
59.9243444,Medium,E9PAL9,5'-nucleotidase domain-containing p...
62.87912149,Medium,E9PB14,Pyruvate dehydrogenase protein X co...
51.62564967,Medium,E9PBJ5,Succinate dehydrogenase [ubiquinone...
63.89422377,Medium,E9PDC9,Protein PTHB1
48.42753265,Medium,E9PH29,Thioredoxin-dependent peroxide redu...
41.16012365,Unstable,F5H897,"Heat shock protein 75 kDa, mitochon..."
52.74274775,Medium,F8WA83,Protein disulfide-isomerase A6
40.9753076,Unstable,H3BRV0,Eukaryotic translation initiation f...
61.70917473,Medium,M0QX35,RNA polymerase II-associated factor...
51.94797388,Medium,P08107,Heat shock 70 kDa protein 1A
61.78321031,Medium,Q5QPP2,UDP-glucose 4-epimerase
51.66118386,Medium,Q75MJ1,ATP-binding cassette sub-family F m...
61.49967479,Medium,Q96RR5,Targeting protein for Xklp2
60.62093546,Medium,H0Y2Y8,Zyxin (Fragment)
48.06615943,Medium,E5RFZ8,Zinc transporter ZIP14 (Fragment)
59.60182252,Medium,E7EV45,Zinc transporter ZIP10 (Fragment)
63.7719391,Medium,Q96KR1,Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)
49.85304387,Medium,H7C0E5,Zinc finger protein ZPR1 (Fragment)
55.44569512,Medium,Q6DD87,Zinc finger protein 787 (TTF-I-interacting peptide 20)
58.96791408,Medium,Q14966,Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)
59.33955319,Medium,M0QXZ5,Zinc finger protein 428 (Fragment)
61.01490684,Medium,D6R9C8,Zinc finger protein 330 (Fragment)
61.60654978,Medium,A6NHN7,Zinc finger MYM-type protein 3
59.20587326,Medium,Q96NC0,Zinc finger matrin-type protein 2
59.95573389,Medium,Q9UPT8,Zinc finger CCCH domain-containing protein 4
49.37134119,Medium,Q8WU90,Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)
58.07465079,Medium,P16989,Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)
61.48924221,Medium,Q5T6H7,Xaa-Pro aminopeptidase 1
53.82122662,Medium,P12956,X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)
